ticker,exchange_code,exchange_name_ko,name_ko,name_en,market_type_code
AI,NYS,뉴욕,C3 AI,C3.AI INC,2
AIG,NYS,뉴욕,아메리칸 인터내셔널 그룹,AMERICAN INTERNATIONAL GROUP INC,2
AII,NYS,뉴욕,아메리칸 인테그리티 인슈어런스 그룹,AMERICAN INTEGRITY INSURANCE GROUP,2
AIIA,NYS,뉴욕,AI 인프라스트럭처 애퀴지션,AI INFRSTR ACQUISITION CORP,2
AIIA/UN,NYS,뉴욕,AI 인프라스트럭처 애퀴지션 유닛,AI INFRSTR ACQUISITION CORP UNIT 1 COM & 1 RT,2
AIN,NYS,뉴욕,앨버니 인터내셔널,ALBANY INTERNATIONAL CORP,2
AIO,NYS,뉴욕,VIRTUS ARTIFICIAL INTELLIGENCE & TECHNOLOGY OPPORTUNITIES,VIRTUS ARTIFICIAL INTELLIGENCE & TE,3
AIR,NYS,뉴욕,AAR,AAR CORP,2
AIT,NYS,뉴욕,어플라이드 인더스트리얼 테크놀로지,APPLIED INDUSTRIAL TECHNOLOGIES INC,2
AIV,NYS,뉴욕,어파트먼트 인베스트먼트 앤드 매니지먼트,APARTMENT INVESTMENT & MANAGEMENT,2
AIZ,NYS,뉴욕,어슈런트,ASSURANT INC,2
AIZN,NYS,뉴욕,어슈런트 후순위채권(2061-01-15 5.250%),ASSURANT INC 5.25% SUB NOTES DUE 15/01/2061,2
AJG,NYS,뉴욕,아서 갤러거 앤드 컴퍼니,GALLAGHER(ARTHUR J.)& CO,2
AKA,NYS,뉴욕,AKA 브랜즈 홀딩,A K A BRANDS HLDG CORP,2
AKAF,NYS,뉴욕,THE ALASKA LAST FRONTIER,THE FRONTIER ECONOMIC FUND,3
AKO/A,NYS,뉴욕,엠보테야도라 안디나 A(ADR),EMBOTELLADORA ANDINA SA SPON ADR-EACH REPR 6 SER A PRF NPV,2
AKO/B,NYS,뉴욕,엠보테야도라 안디나 B(ADR),EMBOTELLADORA ANDINA SA SPON ADR-EACH REPR 6 SER B PRF NPV,2
AKR,NYS,뉴욕,아카디아 리얼티 트러스트,ACADIA REALTY TRUST,2
ALB,NYS,뉴욕,알버말,ALBEMARLE CORP,2
ALB/A,NYS,뉴욕,알버말 우선주 A(7.250%),ALBEMARLE CORP 7.25% DEP SHS REP 1/20TH SER A,2
ALC,NYS,뉴욕,알콘,ALCON AG,2
